cns5_id,gj_id,component_id,n_components,primary_flag,gj_system_primary,gaia_dr3_id,hip_id,ra,dec,epoch,coordinates_bibcode,parallax,parallax_error,parallax_bibcode,pmra,pmra_error,pmdec,pmdec_error,pm_bibcode,rv,rv_error,rv_bibcode,g_mag,g_mag_error,bp_mag,bp_mag_error,rp_mag,rp_mag_error,g_mag_resulting,g_mag_resulting_error,g_rp_resulting,g_rp_resulting_error,g_rp_resulting_flag,cns6_system_id,reference_object_cns5_id,multiplicity_bibcode,remarks
3644,9491,A,2,1,,6337717036911729024,71957,220.76559123742143,-5.6596064403480675,2016.0,2020yCat.1350....0G,53.61985611020061,0.1313597,2020yCat.1350....0G,110.00224987751628,0.2868928909301758,-316.1392626253554,0.2670425474643707,2020yCat.1350....0G,1.63175,0.278468,2023A&A...674A...1G,3.7671251,0.0020451214833761703,3.989909,0.00789572973391148,3.3889115,0.007024891102776012,3.7671251,0.0020451214833761703,0.3805281722052304,0.010648081659943985,0,2196,,,
3645,12121,--,1,1,,6098895724014519936,,220.8541492398017,-44.48490466011373,2016.0,2020yCat.1350....0G,44.973905085856,0.10049532,2020yCat.1350....0G,-251.6638318650861,0.03289816156029701,-165.5338085971688,0.0330611914396286,2020yCat.1350....0G,3.5246,0.309105,2023A&A...674A...1G,12.158488,0.0004280537962461799,13.574999,0.0010055994015290327,10.988275,0.0005174768689090301,12.158488,0.0004280537962461799,1.167922777784431,0.00172308225752906,0,3603,,,
3646,12122,--,1,1,,6203502160773159424,,221.02688491852965,-34.44835557219465,2016.0,2020yCat.1350....0G,65.06129995630604,0.099103056,2020yCat.1350....0G,-83.02687224840872,0.03746727481484413,-438.11192003664826,0.033556316047906876,2020yCat.1350....0G,-0.109645,1.17285,2023A&A...674A...1G,12.733512,0.001106765835364952,14.4284115,0.004026541168161648,11.488094,0.0018776730027461768,12.733512,0.001106765835364952,1.2469413657805242,0.004629113271906663,0,1239,,,
3647,12123,--,1,1,,6281432246412503424,,221.07095495394782,-20.332461218632645,2016.0,2020yCat.1350....0G,58.20462132157678,0.12268644,2020yCat.1350....0G,-2908.634168825205,0.1398688107728958,-1960.9159973148467,0.12526890635490417,2020yCat.1350....0G,,,,16.6528,0.0017732453091052218,20.28971,0.1051303644277424,15.084134,0.003215211013756629,16.6528,0.0017732453091052218,1.5686655044555664,0.0036717816913925594,1,1713,,,
3648,12124,--,1,1,,1282632682337912832,,221.0710869095232,30.0357734179162,2016.0,2020yCat.1350....0G,67.72928538769673,0.10997646,2020yCat.1350....0G,-94.38456973776549,0.06581366062164307,-340.32893044107993,0.06537721306085587,2020yCat.1350....0G,,,,15.906145,0.0007539834179649936,19.220732,0.02499945152196405,14.390061,0.001575192152265119,15.906145,0.0007539834179649936,1.5160837173461914,0.0017463451294414262,1,1100,,,
3650,12126,--,1,1,,1616853430856547968,,221.1035124404749,58.287786919281984,2016.0,2020yCat.1350....0G,52.18810068111945,0.046593748,2020yCat.1350....0G,-259.385238670068,0.020335711538791656,182.69115835784018,0.019871681928634644,2020yCat.1350....0G,41.6048,1.53188,2023A&A...674A...1G,14.105467,0.00049014879290428,16.061531,0.002625050014290628,12.800243,0.0008184282776293036,14.105467,0.00049014879290428,1.3095693150755767,0.003041498384538531,0,2355,,,
3651,12127,--,1,1,,1185619988280226944,72146,221.34970154757104,13.845312200298968,2016.0,2020yCat.1350....0G,53.19412204359236,0.02455817,2020yCat.1350....0G,-231.63877799725043,0.023030981421470642,-225.64601184622302,0.022042352706193924,2020yCat.1350....0G,-9.8182,0.123606,2023A&A...674A...1G,7.5966625,0.00015648571067790516,8.071759,0.0004417554411467755,6.952495,0.00039314166971338247,7.5966625,0.00015648571067790516,0.6405467279404929,0.0014281835464140485,0,2240,,,
3652,12128,--,1,1,,,,221.50330273232,0.41412935391,2015.5,2018A&A...616A...1G,45.0,3.0,2004AJ....127.2948V,180.1999969482422,2.799999952316284,-66.9000015258789,2.5999999046325684,2018ApJS..234....1B,,,,,,,,,,,,,,,3596,,,
3653,12129,AB,2,1,,1590096093840214272,,221.50611085291297,46.55503194432946,2016.0,2020yCat.1350....0G,58.303,0.018,2025arXiv250913587U,496.8795854243917,0.10729087144136429,-415.5883225621925,0.12070505321025848,2020yCat.1350....0G,13.8401,0.922841,2023A&A...674A...1G,13.230633,0.0004922400910510771,15.009722,0.0020202931490834685,11.96438,0.0006481042610890921,13.230633,0.0004922400910510771,1.2683092249043304,0.0024882973177406745,0,1705,,2025arXiv250913587U,Adopted parallax is from the joint RV+DI+Gaia-acceleration orbit fit. ~M4.5 V + late-T brown-dwarf binary with ~0.23'' sep; directly imaged companion (Keck/NIRC2) with ~30% variability in its L'-band flux.
3654,562,--,1,1,,1234693112077610880,72237,221.596506343427,16.49260116531805,2016.0,2020yCat.1350....0G,56.39971526586735,0.02064488,2020yCat.1350....0G,-108.61868465479239,0.0171500314027071,-921.8756257185299,0.016671670600771904,2020yCat.1350....0G,42.8753,0.137497,2023A&A...674A...1G,8.712721,0.00023692963303700225,9.451312,0.0006464287143486371,7.878923,0.0006565848433001538,8.712721,0.00023692963303700225,0.8340850514072948,0.001593415745869834,0,1889,,,
3655,12130,--,1,1,,1613717177017676928,,221.80694357714,57.03177281418,2016.0,2020yCat.1350....0G,34.8,3.8,2018AJ....155..180M,77.9,1.9,-38.9,2.2,2012yCat.1322....0Z,12.117,9.33698,2023A&A...674A...1G,13.41356,0.0011688789436262342,14.439432,0.003510932320386018,11.62528,,13.41356,0.0011688789436262342,,,,5326,,,
3656,3867,--,1,1,,3655492127855307136,72312,221.81581090075264,2.7028759229953887,2016.0,2020yCat.1350....0G,51.799921500065395,0.05380809,2020yCat.1350....0G,-287.1360033039,0.025840165093541145,-78.61204158024492,0.023425515741109848,2020yCat.1350....0G,12.5507,0.119415,2023A&A...674A...1G,7.514656,0.0005162276885254511,7.976599,0.0021739964644790434,6.886801,0.0017206994331382805,7.514656,0.0005162276885254511,0.626627690650634,0.0030621997267927807,0,2411,,,
3657,3866,--,1,1,,6282457918962299776,,221.85046184472634,-17.70590074914838,2016.0,2020yCat.1350....0G,75.22857217006016,0.061492104,2020yCat.1350....0G,-1098.5181889818268,0.05838299170136452,-342.9442109685788,0.051958296447992325,2020yCat.1350....0G,,,,16.157278,0.0007338557155482701,16.636406,0.006615668489915602,15.525452,0.004089211623525566,16.157278,0.0007338557155482701,0.6369547600544377,0.007885348519275403,0,820,,,
3658,1185,--,1,1,,6338748894214299264,,221.97749413739052,-3.158166575490635,2016.0,2020yCat.1350....0G,54.81859104290432,0.07079964,2020yCat.1350....0G,-545.4259847161054,0.029791221022605896,377.36253534646045,0.0287235789000988,2020yCat.1350....0G,-60.4742,0.607951,2023A&A...674A...1G,12.2905035,0.000511101559976957,13.554536,0.0015065198741139867,11.182068,0.0005457740984114657,12.2905035,0.000511101559976957,1.1117378231298203,0.002063364121428225,0,2056,,,
3659,563.1,--,1,1,,1294776032353235968,72387,222.0055613999907,38.46565493754198,2016.0,2020yCat.1350....0G,41.773515336902534,0.014174952,2020yCat.1350....0G,-66.53145624379957,0.010622655041515827,-130.17395882612274,0.012915532104671001,2020yCat.1350....0G,-13.2785,0.138921,2023A&A...674A...1G,9.183443,0.00024573968498416225,9.960373,0.000612679498977159,8.325295,0.00037538912875823813,9.183443,0.00024573968498416225,0.858916817658438,0.0014853596084641496,0,4492,,,
3660,12131,--,1,1,,,,222.0270365,-25.572362,2000.0,2014yCat.2328....0C,54.8,2.1,2021ApJS..253....7K,132.2,1.0,-745.5,1.0,2021ApJS..253....7K,,,,,,,,,,,,,,,2062,,,
3661,12132,--,1,1,,1175003649462887040,,222.10784025931542,10.532546891409849,2016.0,2020yCat.1350....0G,69.65161964309347,0.76941675,2020yCat.1350....0G,223.91264093638577,0.6069833040237427,-118.5721499925878,0.5879417657852173,2020yCat.1350....0G,20.228,,2019AJ....157..231K,19.818438,0.005554454899460733,21.171564,0.3184574762442828,18.259466,0.034056096017681815,19.818438,0.005554454899460733,1.5833206176757812,0.03450608127846028,1,1009,,,
3662,12133,B,2,0,12134,5848544412516689024,,222.3460451838172,-67.2377030744382,2016.0,2020yCat.1350....0G,41.85487643749525,0.018915158,2020yCat.1350....0G,-131.41520740350668,0.018187005072832108,-340.3260179219577,0.030613157898187637,2020yCat.1350....0G,-20.1951,0.403,2023A&A...674A...1G,9.0647135,0.000477156747289721,9.696033,0.016228455560429487,8.208557,0.001578376389048349,9.0647135,0.000477156747289721,0.7995926402424408,0.016356773578623016,0,4452,,,
3663,12134,A,2,1,,5848544412499643264,72493,222.34750444446846,-67.23741120302266,2016.0,2020yCat.1350....0G,41.85487643749525,0.018915158,2020yCat.1350....0G,-116.49921063509893,0.012492014095187187,-325.0969944393007,0.019234424456954002,2020yCat.1350....0G,-23.1,0.3,2006AstL...32..759G,7.2021,0.0001436069572139891,7.5871086,0.0008081499174485428,6.616723,0.0034881715366701757,7.2021,0.0001436069572139891,0.5697471050410249,0.0038092580587705083,0,4452,,,
3664,563.2,B,2,0,,6228695236338166528,,222.37518072685268,-26.109865958353627,2016.0,2020yCat.1350....0G,48.28848218025203,0.050242655,2020yCat.1350....0G,-1199.8887168849342,0.036541130393743515,-186.93427496912216,0.038083843886852264,2020yCat.1350....0G,-34.2831,0.298099,2023A&A...674A...1G,11.128549,0.0005350731861050886,12.283309,0.0012507336990083856,10.059629,0.00044641749600034643,11.128549,0.0005350731861050886,1.0684798247817806,0.0018583926836302435,0,2926,,,
3665,563.2,A,2,1,,6228695270698475392,,222.3826145220022,-26.10660595947719,2016.0,2020yCat.1350....0G,48.28848218025203,0.050242655,2020yCat.1350....0G,-1201.5378254722727,0.04588097706437111,-185.49279720087748,0.04739798977971077,2020yCat.1350....0G,-34.8619,0.303414,2023A&A...674A...1G,10.795381,0.00043546552709879983,11.883827,0.0015312753698476396,9.751755,0.0004841983142757625,10.795381,0.00043546552709879983,1.0396857386703016,0.002066216897097087,0,2926,,,
3666,12135,--,1,1,,6201523658320811008,,222.51046333077883,-37.70431965899887,2016.0,2020yCat.1350....0G,42.8119269968212,0.09333695,2020yCat.1350....0G,-252.6519079925381,0.029716456308960915,-360.8114190523369,0.026968447491526604,2020yCat.1350....0G,48.2934,1.0451,2023A&A...674A...1G,12.733813,0.0005865705249488049,14.249598,0.002007818370312031,11.534664,0.0008580383324447939,12.733813,0.0005865705249488049,1.198242589303701,0.0025411738209156613,0,4178,,,
3667,564,A,3,1,,1265976524286377856,72567,222.5665811155293,23.91198355603319,2016.0,2020yCat.1350....0G,54.969833939212535,0.030768681,"2020yCat.1350....0G, 2018A&A...616A...1G",144.39554871617005,0.024081667885184288,31.66106355980958,0.03719503432512283,2020yCat.1350....0G,-2.62561,0.12224,2023A&A...674A...1G,5.729347,0.00046103474181475836,6.021508,0.0012168642417752812,5.2628183,0.002449240108377058,5.729347,0.00046103474181475836,0.4647753321845205,0.003028124120869914,0,2037,,,
3668,564,BC,3,0,,,,222.56667,23.911611,1999.3,2009AJ....137....1F,54.969833939212535,0.030768681,"2020yCat.1350....0G, 2018A&A...616A...1G",144.5800018310547,0.10999999940395355,31.729999542236328,0.12999999523162842,2018A&A...616A...1G,,,,,,,,,,,,,,,2037,,,
3670,9498,B,2,0,564.1,6309706875115188224,72603,222.671209655787,-15.997512073405883,2016.0,2020yCat.1350....0G,43.029998779296875,0.13435028,2007A&A...474..653V,-105.68,0.20000000298023224,-68.4,0.11999999731779099,2007A&A...474..653V,-22.6637,0.28988,2023A&A...674A...1G,5.0331626,0.001061512419024618,5.252766,0.0010899317719876447,4.6937375,0.0025261593171350596,5.0331626,0.001061512419024618,0.35685572353184325,0.0030429315081244267,0,4108,,,
