source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,non_single_star,teff_gspphot,logg_gspphot,lum_flame,radius_flame,spectraltype_esphs,classprob_dsc_combmod_star,best_class_name,best_class_score
1203375829760178688,15.519745,17.861456,14.144733,3.7167225,-0.42495134,4.2720957,NOT_AVAILABLE,0,,,,,M,0.9999958,,
1205070452055788928,11.167263,12.811124,9.924122,2.887002,6.8568945,0.18668264,NOT_AVAILABLE,0,,,,,M,0.99648726,,
1206795169186219264,13.323561,15.3047085,11.968209,3.3364992,-25.781149,1.6965841,NOT_AVAILABLE,0,,,,,M,0.99998546,,
1208695640675619584,12.195167,13.988167,10.920402,3.0677652,42.135296,0.38803354,NOT_AVAILABLE,0,3071.262,5.0428,0.0040579354,0.22501628,M,0.99944246,,
1209182041427374080,6.958224,7.3489423,6.3952813,0.95366096,-7.1312046,0.12132071,NOT_AVAILABLE,0,5243.718,4.4824,0.49828377,0.85529184,G,0.99885,,
1209281375431039104,11.349645,12.657914,10.218404,2.4395103,-43.93056,0.25123683,NOT_AVAILABLE,0,3187.4963,4.4078,0.011459911,0.3510467,M,0.9976672,,
1209281444150517120,13.425289,15.272576,12.143821,3.1287556,-44.240623,1.3981835,NOT_AVAILABLE,0,3002.6665,5.0175,0.0021088955,0.164214,M,0.9993886,,
1209432042883668480,13.886274,15.923135,12.564631,3.3585033,,,NOT_AVAILABLE,1,,,,,M,0.99998206,,
1211589731374380544,12.318134,13.743541,11.138587,2.6049538,-48.750763,0.37199795,NOT_AVAILABLE,0,3274.9194,4.7284,0.011922498,0.35633367,M,0.9976672,,
1212774313804554752,12.021721,13.633267,10.78486,2.8484077,14.730082,0.25008258,NOT_AVAILABLE,0,3023.9717,4.3363,0.01060081,0.37510505,M,0.99296397,,
1213916950812872192,20.656542,21.050531,19.005772,2.0447598,,,NOT_AVAILABLE,0,,,,,,0.9999939,,
1214076070761755008,13.551904,15.73317,12.169079,3.5640907,,,NOT_AVAILABLE,0,,,,,M,0.99999666,,
1214160733157163008,9.124214,10.272954,8.05256,2.2203941,5.306449,3.6760135,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1217467067705592576,11.514561,12.97159,10.314514,2.657076,-59.74505,0.18896374,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1219254942328596736,6.9036655,7.287495,6.3218164,0.9656787,-49.15084,0.15792346,NOT_AVAILABLE,0,5177.2817,4.3775,0.6408631,0.9949648,G,0.999712,,
1219843215409537024,11.378493,12.581867,10.286281,2.2955866,6.4645333,0.20447421,VARIABLE,0,3325.7031,4.3984,0.027009953,0.496014,M,0.99861324,SOLAR_LIKE,0.20032969
1222160745406471680,10.369054,11.355334,9.381393,1.9739408,-4.2089977,0.1547015,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1222646935698492160,2.2693703,2.9421518,2.4125688,0.529583,,,NOT_AVAILABLE,0,,,,,B,0.99999964,,
1225145747671533056,10.5839815,11.751297,9.510262,2.2410355,2.7726474,0.23609665,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1226624350292337792,20.649376,21.362335,19.08877,2.2735653,,,NOT_AVAILABLE,0,,,,,,0.9999948,,
1227133699053734528,18.328342,21.55228,16.681887,4.8703938,,,NOT_AVAILABLE,0,,,,,,0.999998,,
1227705135863076864,14.896256,17.828226,13.438016,4.39021,,,NOT_AVAILABLE,0,,,,,M,0.9999985,,
1228555023991501184,14.995896,17.563524,13.556473,4.0070515,,,NOT_AVAILABLE,0,,,,,M,0.9999987,,
1229089524081628416,9.732934,10.90645,8.651203,2.255247,7.62049,0.17026074,VARIABLE,0,3343.8218,3.9396,0.038406186,0.58391786,M,0.99296397,SOLAR_LIKE,0.1521863
1229977414080680192,9.840229,10.858652,8.839605,2.0190468,-8.506836,0.15027319,VARIABLE,0,,,,,M,0.99296397,SOLAR_LIKE,0.47863606
1230894097540611968,6.034668,6.2926927,5.604877,0.68781567,-10.267005,0.12073888,NOT_AVAILABLE,0,6074.6255,4.1876,1.7483066,1.193913,F,0.99861324,,
1231853730673656960,11.151246,12.34536,10.064929,2.2804308,10.35304,0.20913374,VARIABLE,0,3278.6072,4.1571,0.031289544,0.54776305,M,0.99648726,SOLAR_LIKE,0.59973264
1234693112077610880,8.712721,9.451312,7.878923,1.5723891,42.875267,0.13749652,NOT_AVAILABLE,0,4049.1663,4.5498,0.112481706,0.68088,K,0.9996796,,
1235125877277843840,12.240585,13.870865,11.00377,2.867095,-3.2200525,0.9798976,NOT_AVAILABLE,0,3089.9375,4.4993,0.006191284,0.27468514,M,0.99648726,,
1236929488664453376,5.7661414,6.2012343,5.160305,1.0409293,-24.114534,1.8164792,NOT_AVAILABLE,1,4996.135,4.396,0.5410137,0.9816674,K,0.99944246,,
1237090738916392704,4.4804826,4.8695474,3.9444358,0.92511153,1.5923321,0.124338284,NOT_AVAILABLE,0,5386.0786,4.4925,0.5541511,0.85529965,G,0.9993886,,
1237090738916392832,6.4300914,7.133002,5.615121,1.5178809,2.3123786,0.12521172,NOT_AVAILABLE,0,4244.478,4.6362,0.1281248,0.66196513,K,0.9990192,,
1237693065130209408,9.118815,9.257802,7.647422,1.6103802,,,NOT_AVAILABLE,0,,,,,unknown,0.9999279,,
1237696157506521600,9.42636,10.237276,8.545672,1.6916037,-27.94819,0.13977098,NOT_AVAILABLE,0,,,,,K,0.99932396,,
1237730036208674048,17.517,21.173414,15.947535,5.2258797,,,NOT_AVAILABLE,0,,,,,M,0.99999815,,
1239625559894563968,17.839024,19.97857,16.24612,3.7324505,,,NOT_AVAILABLE,0,,,,,,0.99999875,,
1244571953471006720,4.356021,4.608971,3.964488,0.6444831,-16.750475,0.1532612,NOT_AVAILABLE,0,6319.2407,4.1688,3.183506,1.4886425,F,0.9976672,,
1244644727396803584,9.108179,10.003153,8.1753845,1.8277683,20.751684,0.16178009,NOT_AVAILABLE,0,3846.104,4.7656,0.046996966,0.5233524,K,0.99296397,,
1244946371540479616,2.5583582,3.2581592,2.357232,0.90092707,,,NOT_AVAILABLE,0,,,,,F,0.9999877,,
1247332788512753536,11.970804,13.57773,10.710966,2.866764,-16.61651,0.5262345,NOT_AVAILABLE,0,,,,,M,0.99296397,,
1250801855073489280,8.625744,9.264186,7.8605785,1.4036074,-57.4791,0.13781549,NOT_AVAILABLE,0,4408.225,4.5679,0.19487448,0.75681436,K,0.9998378,,
1250871227385237888,14.758097,16.806372,13.432595,3.3737764,,,NOT_AVAILABLE,0,2976.2917,5.0921,0.0020283624,0.1687206,M,0.9999899,,
1251824057289839744,15.338058,15.894626,14.625719,1.2689066,,,NOT_AVAILABLE,0,,,,,K,0.99994487,,
1251824607045654016,13.441506,15.620996,12.091246,3.5297508,-13.232984,1.8710849,NOT_AVAILABLE,0,,,,,M,0.99999666,,
1254694882149817728,9.204846,10.207275,8.211471,1.9958048,7.980404,0.14639895,NOT_AVAILABLE,0,,,,,M,0.99648726,,
1254695603704323712,9.006028,9.957909,8.040508,1.9174004,8.946947,0.13185857,VARIABLE,0,,,,,M,0.99296397,SOLAR_LIKE,0.2410064
1255034459444168704,17.280476,20.460833,15.731097,4.7297354,,,NOT_AVAILABLE,0,,,,,M,0.9999991,,
1255420869061901440,13.793233,15.755134,12.480349,3.274785,,,NOT_AVAILABLE,0,3008.2483,5.0283,0.003911353,0.23024307,M,0.99996644,,
1256071505067560704,14.865249,17.466722,13.43818,4.0285425,,,NOT_AVAILABLE,0,,,,,M,0.9999985,,
1257273099478139008,11.896589,13.233382,10.752692,2.48069,-11.394538,0.28065577,NOT_AVAILABLE,0,3160.733,4.2333,0.017745707,0.44422132,M,0.9976672,,
1257462971392301440,12.729104,14.120142,11.57001,2.5501318,10.168668,0.7063883,NOT_AVAILABLE,0,,,,,M,1.0000273E-6,,
1262763648230973440,16.509804,20.133026,14.9498825,5.1831436,,,NOT_AVAILABLE,0,,,,,M,0.9999989,,
1264630412816366720,4.802299,5.034543,4.4395275,0.5950155,-9.28775,0.12985097,NOT_AVAILABLE,0,6456.2046,4.0862,3.4606323,1.4870778,F,0.99885,,
