source_id,ra,dec,ra_error,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_bp_rp_excess_factor,ruwe,ipd_frac_multi_peak,adoptedrv,adoptedrv_error,adoptedrv_refname,radial_velocity_is_valid,gcns_prob,wd_prob,dist_1,dist_16,dist_50,dist_84,xcoord_16,xcoord_50,xcoord_84,ycoord_16,ycoord_50,ycoord_84,zcoord_16,zcoord_50,zcoord_84
2947050466531873024,101.28662552099249,-16.720932526023173,0.16483414,0.22725502,374.4896,0.2313347,-461.5705,0.2779457,-914.5196,0.33150372,8.524133,8.120362,8.398789,1.5243522,2.4190555,18,,,,0,0.9,0.24701178,0.0026664897,0.0026687938,0.0026704345,0.0026720804,-1.790328,-1.7914286,-1.7925327,-1.9357119,-1.9369018,-1.9380956,-0.41256037,-0.412814,-0.4130684
2964000159821218432,86.11439122579156,-22.45002336420253,0.067644015,0.10315547,112.29603,0.14516802,-291.75677,0.08734715,-368.5208,0.13357414,3.476823,3.796859,3.0440361,1.1671617,3.2323093,0,-9.199,0.0004,2018A&A...616A...7S,0,1.0,0.08599262,0.008877867,0.008893553,0.008904119,0.008915676,-5.550088,-5.5566816,-5.563894,-5.9096093,-5.9166303,-5.9243097,-3.6562726,-3.6606164,-3.6653676
2964001014514075520,86.10910372271664,-22.42340450564174,0.010546745,0.015120024,112.466064,0.02246881,-304.90503,0.013089417,-352.60574,0.019403704,5.868166,6.3657584,5.208363,1.2315155,1.0054624,0,-9.732102,0.13582027,2018A&A...616A...1G,1,1.0,0.16940619,0.008888303,0.008890576,0.008998553,0.009110504,-5.551453,-5.6188765,-5.6887813,-5.905029,-5.9767466,-6.051103,-3.6543581,-3.698741,-3.744757
2974726131970829952,75.6178310374648,-21.257878326934936,0.02936214,0.027810395,119.573746,0.04195274,-166.87715,0.03486889,-269.183,0.034829374,7.7924075,8.551479,6.645775,1.5706681,1.8184237,47,-13.272,0.0022,2018A&A...616A...7S,0,1.0,0.08015572,0.00835622,0.008360246,0.008363196,0.008366285,-5.2316494,-5.2334948,-5.2354283,-4.66519,-4.666836,-4.66856,-4.5562663,-4.5578737,-4.5595574
2974726136265625088,75.61776596344842,-21.257639202011276,0.33842602,0.06433687,118.82497,0.07951455,-111.6557,0.20715636,-235.83337,0.12931252,9.636776,8.56764,6.6785455,8.360982,1.7590977,5,,,,0,1.0,0.12209596,0.008403181,0.008410349,0.008416062,0.008421761,-5.2630277,-5.266603,-5.2701693,-4.693123,-4.696311,-4.6994905,-4.583569,-4.586683,-4.5897884
2976507997939000064,77.14837445280509,-18.178273078582706,0.060848024,0.06968209,108.32541,0.0976161,503.5941,0.065193176,-1399.6318,0.08250191,9.05489,10.550499,7.8416934,1.4696435,4.355474,3,33.9,1.1,2002AJ....123.3356G,0,1.0,0.2000463,0.009213358,0.009224033,0.009231857,0.0092398105,-6.1774125,-6.1826525,-6.1879787,-4.9870906,-4.9913206,-4.9956207,-4.69588,-4.699863,-4.703912
2976850598890749824,75.83262223513711,-17.375510085672932,0.022599006,0.02303744,108.27325,0.039790057,-228.28716,0.025345061,-444.6851,0.02708879,10.561693,11.983716,9.384994,1.4399347,1.16032,0,15.467,0.002,2018A&A...616A...7S,0,1.0,0.11239418,0.009228096,0.0092325285,0.009235928,0.009239328,-6.246324,-6.248624,-6.2509246,-4.7942224,-4.795987,-4.797753,-4.820628,-4.822403,-4.8241787
2979590513145784192,73.46015657149674,-17.776283502998492,0.010234788,0.009427802,83.68967,0.015969025,408.57272,0.012086365,-644.45685,0.012502593,9.938216,11.13577,8.850999,1.3864571,1.1063225,0,-15.069535,0.22702011,2018A&A...616A...1G,1,1.0,0.21080507,0.011943411,0.011946424,0.011948733,0.011951072,-7.93817,-7.939704,-7.941259,-5.9752502,-5.9764047,-5.9775753,-6.633166,-6.6344476,-6.635747
2980492387558410112,71.90182063625531,-16.933703052251126,0.034469385,0.034630354,75.5289,0.053909987,130.26357,0.040416732,169.33844,0.040606573,5.318377,5.645485,4.8274775,1.198134,1.0712714,1,21.719494,0.13623385,2018A&A...616A...1G,1,1.0,0.073575035,0.01321852,0.013230175,0.013239321,0.013249614,-8.859076,-8.8652,-8.872092,-6.287257,-6.291604,-6.2964954,-7.55147,-7.55669,-7.5625653
2980822034888930176,73.10229515656287,-16.823693398813177,0.016243963,0.0147965895,63.131546,0.025060162,122.06518,0.019040361,-210.62148,0.018225364,10.446791,11.816204,9.286249,1.4312736,1.379805,1,27.9,0.3,2012ApJ...758...56S,0,1.0,0.11065952,0.01582452,0.015833626,0.015840111,0.015846355,-10.690704,-10.695084,-10.699299,-7.6972313,-7.7003846,-7.7034197,-8.784371,-8.78797,-8.791433
2985035874544160384,80.90975753594236,-14.049842851725447,0.09763866,0.10031234,78.5273,0.14688343,107.483864,0.13975361,161.46837,0.14130835,18.057432,21.267834,16.47946,1.8382267,0.9273574,1,12.48,0.41,2016ApJS..225...10F,0,1.0,0.022619048,0.012676446,0.0127112875,0.012735701,0.012759414,-9.248966,-9.266729,-9.283983,-6.758791,-6.771772,-6.7843804,-5.509283,-5.519864,-5.5301414
2997171394834174976,89.83256483907208,-14.081838232219802,0.49733657,0.5906104,95.27144,0.7178836,571.34045,0.61849225,-338.16702,0.68219376,20.15528,21.436401,18.348654,2.4454577,1.3032441,0,,,,0,0.998,0.055925924,0.0103284195,0.010419596,0.01049664,0.010580655,-7.6023536,-7.658567,-7.7198663,-6.374773,-6.4219093,-6.4733105,-3.1834664,-3.2070057,-3.2326746
3015684005638599168,84.00082080161667,-7.64749055072158,0.017530404,0.016369106,66.44259,0.024265094,110.24665,0.022796273,466.60794,0.01928185,11.476436,13.080373,10.248026,1.4704318,1.2798513,0,,,,0,1.0,0.059325397,0.015037423,0.015045141,0.01505052,0.015056065,-12.069572,-12.073888,-12.078336,-7.3222194,-7.3248377,-7.327536,-5.202575,-5.2044353,-5.2063527
3022956969731332096,88.79209555773647,-4.1789270915525885,0.01484643,0.0142682865,155.23735,0.01745606,535.24854,0.017166171,-2317.0112,0.01493966,14.236672,14.726641,13.592983,1.2233604,1.0328441,0,,,,0,1.0,0.7661888,0.006440044,0.0064410255,0.0064417343,0.0064424234,-5.3899617,-5.390555,-5.391132,-3.1406035,-3.1409492,-3.1412852,-1.6036614,-1.603838,-1.6040095
3023121827755777280,85.55220113669213,-5.461181586870268,0.01608456,0.014347152,77.083786,0.022624217,-157.22783,0.020880096,956.72577,0.01738157,13.475401,15.577138,12.139018,1.5459927,1.1164893,0,,,,0,1.0,0.2166402,0.012965202,0.012969866,0.012974763,0.013383748,-10.700699,-10.704739,-11.042169,-6.1532106,-6.155534,-6.349566,-3.9812667,-3.98277,-4.108313
3059182338820698624,108.29665561709618,-5.198202455814469,0.01809463,0.019302286,87.00701,0.025045197,-22.609665,0.021925455,-306.86627,0.022586832,10.169039,11.39381,9.067431,1.3957863,1.2095805,1,-8.313765,0.6183494,2018A&A...616A...1G,1,1.0,0.08164983,0.01148607,0.011490195,0.011493362,0.011496531,-8.788575,-8.7909975,-8.793422,-7.385468,-7.387503,-7.38954,0.49029335,0.49042845,0.4905637
3059246454092369024,109.32310142871492,-5.0193865914700995,0.02482393,0.024313552,89.82025,0.02877511,420.996,0.03018563,-390.2658,0.02805826,11.861726,13.532238,10.617965,1.4791665,1.216702,0,-6.402,1.714,2015ApJS..220...16T,0,1.0,0.08149832,0.011124584,0.011129429,0.011133084,0.011136838,-8.465633,-8.468413,-8.471269,-7.193934,-7.1962967,-7.1987233,0.6667478,0.6669668,0.6671917
3060641356390249728,112.19128658651584,-3.301647006516706,0.040780913,0.03627712,85.217674,0.051778194,439.4107,0.05275229,-788.3958,0.041306596,10.296098,11.681078,9.137914,1.4256893,1.088353,5,1.452,0.0012,2018A&A...616A...7S,0,1.0,0.09220959,0.011719484,0.011728028,0.011735097,0.011742052,-8.899697,-8.905062,-8.910339,-7.5121846,-7.5167127,-7.5211678,1.381704,1.3825368,1.3833562
3085716990368639744,117.97896837066911,-0.006769120798188667,0.038048603,0.02902752,107.848785,0.04206865,263.5429,0.04552859,-756.8634,0.03306462,11.653467,13.479244,10.363374,1.516122,1.3989514,1,93.821,5.743,2015ApJS..220...16T,0,1.0,0.10041366,0.009264294,0.009268766,0.0092724,0.009276023,-6.910308,-6.913017,-6.9157186,-5.790535,-5.7928047,-5.7950687,2.1511352,2.1519785,2.1528194
3089711447388931584,124.03158305457569,1.3028427269823109,0.019333843,0.016028672,111.869774,0.022784311,-376.19583,0.023568213,60.538113,0.019387966,9.133169,10.33759,8.039904,1.3913401,1.080424,3,61.455795,0.6730268,2018A&A...616A...1G,1,1.0,0.16241309,0.008782435,0.008782435,0.008864818,0.00893995,-6.1824255,-6.2404194,-6.2933087,-5.5155506,-5.567289,-5.6144733,2.9133277,2.940656,2.9655788
3098328182579892096,122.99468256110134,8.750401522062495,0.07959164,0.050793987,147.72185,0.094956644,1069.8118,0.09832055,-5094.22,0.06350003,11.397289,13.130089,10.137975,1.4895821,2.0968676,4,14.597,0.0028,2018A&A...616A...7S,0,1.0,0.20518519,0.0067591104,0.006764939,0.006769495,0.006773756,-5.1962447,-5.199744,-5.2030168,-3.5248559,-3.5272298,-3.52945,2.5177038,2.5193994,2.5209851
